X,Y,id,label,Composit_1,Composit_2,Composit_3,Composit_4,Composit_5,Composit_6,Composit_7,Composit_8
782460.605896272,1429589.3806097,1,1,12401.00000,11848.00000,11859.00000,12287.00000,13991.00000,14437.00000,13109.00000,5060.00000
782731.650420763,1429707.58394512,2,1,12136.00000,11660.00000,11535.00000,11800.00000,13350.00000,14192.00000,13164.00000,5056.00000
782850.282023915,1429737.4822001,3,1,12499.00000,12166.00000,12053.00000,12490.00000,14977.00000,14681.00000,13164.00000,5049.00000
782371.464061322,1429769.5003673,4,1,12538.00000,12234.00000,12128.00000,12646.00000,14100.00000,14793.00000,13848.00000,5046.00000
782276.379009362,1429858.02190595,5,1,12282.00000,11890.00000,11611.00000,12220.00000,13774.00000,14636.00000,13532.00000,5055.00000
782876.595549548,1429921.50795717,6,1,12738.00000,12528.00000,12788.00000,13460.00000,15119.00000,15929.00000,14685.00000,5049.00000
782994.797541541,1429858.49900323,7,1,12402.00000,12128.00000,12174.00000,12860.00000,14769.00000,15011.00000,13673.00000,5054.00000
782788.874542317,1429556.5138132,8,1,12341.00000,11899.00000,11831.00000,12255.00000,14235.00000,14399.00000,13148.00000,5051.00000
782761.572802353,1429469.47952765,9,1,12426.00000,11940.00000,11760.00000,12079.00000,13729.00000,14248.00000,13175.00000,5057.00000
782905.23878296,1429403.9954071,10,1,12273.00000,11839.00000,11853.00000,12285.00000,13206.00000,14153.00000,13352.00000,5047.00000
782099.145902574,1429979.86448247,11,1,11857.00000,11377.00000,11415.00000,12063.00000,13712.00000,14628.00000,13180.00000,5047.00000
784747.859713069,1428453.42801348,12,1,12312.00000,11939.00000,11939.00000,12375.00000,14557.00000,14902.00000,13697.00000,5050.00000
785945.059421975,1428099.53262474,13,1,12256.00000,11886.00000,11494.00000,11872.00000,13697.00000,14151.00000,13456.00000,5051.00000
786359.106565156,1428486.3669263,14,1,12466.00000,12074.00000,11630.00000,12085.00000,16372.00000,17092.00000,14491.00000,5053.00000
786536.336880612,1428367.95471144,15,1,11881.00000,11372.00000,11132.00000,11501.00000,15316.00000,14342.00000,12189.00000,5052.00000
781522.022887681,1429808.69852028,16,1,11632.00000,11054.00000,10580.00000,10788.00000,13656.00000,13192.00000,11997.00000,5056.00000
