@relation training
@attribute Class {'1','2','3','4'}
@attribute Aerosol numeric
@attribute B numeric
@attribute G numeric
@attribute R numeric
@attribute NIR numeric
@attribute SWIR1 numeric
@attribute SWIR2 numeric
@attribute Cirrus numeric
@data
'1',12538,12234,12128,12646,14100,14793,13848,5046
'1',12030,11523,11307,11701,13479,13738,12266,5050
'1',12327,12082,12070,12983,15046,15211,14008,5057
'1',12113,11653,11522,11965,13745,14422,13101,5050
'1',12282,11834,11664,12100,13837,14401,13257,5040
'1',11821,11298,11167,11496,13684,13955,12806,5048
'1',12291,11851,11471,11749,13452,13808,13022,5052
'1',12044,11450,11348,11574,14388,14326,12840,5055
'1',11926,11439,11386,11888,14082,14694,13309,5043
'1',12429,11971,12162,12411,14398,14923,13821,5049
'1',12048,11506,11111,11391,14107,14938,13393,5063
'1',12101,11613,11458,11858,13684,15314,13859,5046
'1',12300,11865,11749,12239,13984,14969,13841,5040
'1',11632,11054,10580,10788,13656,13192,11997,5056
'1',12072,11559,11417,11850,13697,14841,13840,5058
'1',12242,11874,11631,12450,14593,15924,14274,5051
'1',11809,11367,11635,13235,16150,19106,16143,5059
'1',11271,10575,10042,9801,16719,12780,9782,5058
'1',12499,12166,12053,12490,14977,14681,13164,5049
'1',12136,11660,11535,11800,13350,14192,13164,5056
'1',12459,12013,12121,12663,14919,15512,14523,5051
'1',12335,11917,11975,12490,14303,14966,13516,5058
'1',12008,11512,11179,11814,16045,14540,11754,5039
'1',11894,11369,11160,11486,13754,14057,13239,5038
'1',12029,11488,11235,11540,12709,13815,12524,5048
'1',12669,12332,12538,13021,14867,15780,14744,5058
'1',11741,11081,11260,11411,17001,15234,12327,5041
'1',12289,11822,11750,12172,14180,15083,13982,5054
'1',12723,12614,13484,14623,17370,20601,15951,5048
'1',12256,11886,11494,11872,13697,14151,13456,5051
'1',12426,11940,11760,12079,13729,14248,13175,5057
'1',11926,11353,11248,11803,12974,13374,11647,5049
'1',11819,11252,10992,11241,13955,13590,12159,5044
'1',12341,11899,11831,12255,14235,14399,13148,5051
'1',12273,11839,11853,12285,13206,14153,13352,5047
'1',11857,11377,11415,12063,13712,14628,13180,5047
'2',10763,9776,8532,7620,7056,5780,5430,5048
'2',10528,9659,8901,7866,7037,5790,5472,5031
'2',10544,9652,8858,7901,7214,5991,5591,5038
'2',10750,9789,8609,7848,7312,5923,5515,5066
'2',10851,9939,8806,8064,7733,6167,5678,5071
'2',10813,9837,8620,7735,7217,5930,5557,5064
'2',10967,9974,9019,7831,6768,5675,5374,5029
'2',10990,10087,8862,8055,7838,6122,5640,5071
'2',10517,9656,8756,7934,7301,6073,5688,5053
'2',10827,9878,8685,7886,7341,5912,5501,5064
'2',10450,9536,8770,7712,6885,5768,5470,5053
'2',10520,9595,8834,7762,6954,5848,5519,5062
'2',10521,9627,8868,7827,7036,5810,5483,5045
'2',10828,10027,9394,8316,7580,6108,5654,5048
'2',10796,9969,9321,8306,8123,6344,5795,5046
'2',10951,9979,9031,7785,6743,5677,5385,5042
'2',10658,9682,8423,7501,6951,5746,5402,5053
'2',10582,9677,8884,7894,7136,6091,5725,5051
'3',11003,10487,10493,12000,17166,20743,15263,5056
'3',10692,9923,9772,10167,16578,15875,12019,5052
'3',11547,11087,11165,12820,18540,22077,16323,5040
'3',10558,9741,9174,8960,14740,14488,10467,5048
'3',10895,10022,9379,8390,20949,11916,7946,5040
