"Class","Aerosol","B","G","R","NIR","SWIR1","SWIR2","Cirrus","energy","entropy","corr","invDiffM","inertia","clusShade","clusProm","hCorr","mean","variance","dissim","sumAvg","sumVar","sumEntr","diffEntr","diffVar","IC1","IC2","SRE","LRE","GLNU","RLNU","RP","LGRE","HGLRE","SRLGLE","SRHGLE","LRLGLE","LRHGLE"
"1",0.6168,1.23134,-0.76738,0.88595,0.24793,-0.0305,0.19622,918.31586,12429,12096,11809,12017,14429,15309,13886,5049,1,1,33.57143,56,0.01276,79.32143,0.01276,79.32143,0.01276,79.32143,0,7.95868,0.11399,0,15.91736,0.20805,0.94205,0.66149,0.11058,-0.85742,0.72277
"1",0.31227,2.07777,0.43731,0.7686,0.46281,-0.23198,1.23489,1421.50098,12271,11892,12196,13245,16615,16833,14252,5048,1,1,35.60526,76,0.01162,87.35526,0.01162,87.35526,0.01162,87.35526,0,8.1405,0.26125,0,16.28099,0.5822,1.61496,0.9702,0.17786,-0.76336,0.82626
"1",0.29906,2.19552,0.45902,0.78182,0.49587,-0.16192,1.07297,1338.7052,12415,11953,12089,12612,14648,15605,14564,5064,1,1,33.84507,71,0.01326,76.85915,0.01326,76.85915,0.01326,76.85915,0,7.7686,0.28529,0,15.53719,0.64531,1.6873,0.99822,0.19814,-0.80543,0.84648
"1",0.216,2.51262,-0.59074,0.66529,0.86777,-0.10163,0.68088,1717.77356,14211,14655,16028,18287,20797,23252,20683,5071,1,1,38.12088,91,0.01245,82.02198,0.01245,82.02198,0.01245,82.02198,0,8.03719,0.35812,0,16.07438,0.56472,1.58186,1.22979,0.31051,-0.79057,0.8713
"1",0.30319,2.29506,0.39138,0.74628,0.68595,-1.16575,3.79487,1320.15161,11981,11450,11205,11695,13848,14726,13318,5066,1,1,30.91549,71,0.0143,71.85915,0.0143,71.85915,0.0143,71.85915,0,7.62397,0.40819,0,15.24793,0.94679,1.7518,1.11738,0.27083,-0.83383,0.86082
"1",0.13315,3.13991,-0.12415,0.6157,1.16529,-0.00951,2.48792,2315.97192,12675,12369,12443,13172,15848,17456,15729,5043,1,1,33.3299,97,0.01309,78.84536,0.01309,78.84536,0.01309,78.84536,0,7.83058,0.54568,0,15.66116,1.01742,2.03007,1.33275,0.40846,-0.85675,0.92083
"1",0.16225,2.82506,0.00602,0.65124,0.87603,0.07525,1.77909,2010.40442,11868,11437,11189,12086,15008,15286,13046,5062,1,1,34.3617,94,0.01268,80.94681,0.01268,80.94681,0.01268,80.94681,0,7.87603,0.43918,0,15.75207,0.88068,1.91789,1.22414,0.30579,-0.8624,0.90429
"1",0.49167,1.38446,0.29435,0.85537,0.28926,-0.21557,0.34817,1022.28009,12375,12027,11764,12230,13416,13964,13180,5044,1,1,34.23077,65,0.01361,74.46154,0.01361,74.46154,0.01361,74.46154,0,7.81405,0.15137,0,15.6281,0.31624,1.09521,0.75356,0.12371,-0.88251,0.75605
"1",0.277,2.00966,-0.44949,0.73719,0.54545,0.06457,0.46816,1266.7135,12018,11434,11247,11542,13314,13824,12571,5052,1,1,41.04878,82,0.01432,70.86585,0.01432,70.86585,0.01432,70.86585,0,7.35537,0.24561,0,14.71074,0.43699,1.43155,1.04459,0.20279,-0.87261,0.8399
"1",0.33208,2.00571,-0.86326,0.75041,0.57851,0,0.39164,1385.75171,11832,11305,11096,11338,12462,13347,12529,5057,1,1,34.08861,79,0.01195,85.31645,0.01195,85.31645,0.01195,85.31645,0,8.18182,0.23967,0,16.36364,0.38017,1.3472,1.07095,0.22362,-0.82959,0.83157
"1",0.87351,0.47101,-0.25418,0.96694,0.06612,-0.02657,0.06217,762.57721,12293,11872,11822,12304,14077,15186,13871,5053,1,1,40.54167,48,0.0125,80.33334,0.0125,80.33334,0.0125,80.33334,0,7.98347,0.03278,0,15.96694,0.06502,0.4049,0.25477,0.03197,-0.87543,0.50032
"1",0.27525,2.29168,0.39872,0.75537,0.52893,-0.00127,1.2824,1397.18689,12443,12003,11521,11713,13546,14836,13983,5051,1,1,36.33333,81,0.01301,78.54321,0.01301,78.54321,0.01301,78.54321,0,7.82645,0.30046,0,15.65289,0.6729,1.7555,1.03604,0.20299,-0.80742,0.856
"1",0.1168,3.3232,0.38302,0.67273,1.09091,-0.0518,7.5508,2262.68188,11461,11028,9872,9393,14410,12880,10204,5049,1,1,28.07143,84,0.01677,62.5,0.01677,62.5,0.01677,62.5,0,7.02479,0.77624,0,14.04959,2.01407,2.39247,1.30797,0.41322,-0.8037,0.92261
"1",0.50628,1.30672,-0.61484,0.84711,0.30579,-0.13778,0.19322,990.93634,12062,11646,11279,11681,12922,13084,12118,5064,1,1,36.94118,68,0.0135,75,0.0135,75,0.0135,75,0,7.83058,0.14072,0,15.66116,0.25709,1.00094,0.77978,0.12952,-0.87212,0.74012
"1",0.23882,2.48577,0.17743,0.71322,0.85124,-1.12503,4.0563,1473.47217,11886,11306,11094,11156,14328,13806,12440,5053,1,1,35.275,80,0.01428,72.0875,0.01428,72.0875,0.01428,72.0875,0,7.53306,0.46378,0,15.06612,1.00389,1.82226,1.19884,0.32957,-0.84938,0.8791
